"model";"vars";"clauses";"var_prob_time"
"s420_new_3_2";294;694;1.03499999999985
"s420_new_7_4";312;770;1.11700000000019
"s420_new1_15_7";366;994;4.77499999999964
"s420_new1_3_2";294;694;1.06500000000051
"s420_new1_7_4";312;770;1.98500000000058
"s444_15_7";377;1072;1.56599999999889
"s444_3_2";290;712;0.27100000000064
"s444_7_4";308;788;0.981999999999971
"s510_15_7";340;948;0.768000000000029
"s510_3_2";298;768;0.574999999998909
"s510_7_4";316;844;0.579000000001543
"s526_15_7";452;1303;35.1849999999977
"s526_3_2";365;943;2.72799999999916
"s526_7_4";383;1019;7.3080000000009
"s526a_15_7";453;1304;27.6209999999992
"s526a_3_2";366;944;3.75699999999779
"s526a_7_4";384;1020;10.3329999999987
"s641_15_7";576;1399;190.635000000002
"s641_3_2";489;1039;28.8459999999977
"s641_7_4";507;1115;166.860000000001
"s713_3_2";509;1117;44.4429999999993
"s713_7_4";527;1193;87.8389999999999
"s713_15_7";596;1477;473.549
"blasted_case125";393;1555;1.373
"blasted_case126";302;1129;1.41000000000003
"blasted_case127";36;104;0.0169999999999959
"blasted_case128";36;104;0.0160000000000196
"blasted_case130";644;2056;5.65100000000001
"blasted_case131";432;1830;11.2080000000001
"blasted_case21";126;411;0.102000000000089
"blasted_case22";126;411;0.0810000000000173
"blasted_case23";77;235;0.0360000000000582
"blasted_case24";65;190;0.0259999999999536
"blasted_case25";68;195;0.0320000000000391
"blasted_case26";53;148;0.0209999999999582
"blasted_case27";52;146;0.0289999999999964
"blasted_case28";51;143;0.0199999999999818
"blasted_case29";65;190;0.0289999999999964
"blasted_case30";68;195;0.0259999999998399
"blasted_case31";53;148;0.0209999999999582
"blasted_case32";52;146;0.0189999999997781
"blasted_case33";51;143;0.0230000000001382
"blasted_case34";409;1597;6.41300000000001
"blasted_case35";400;1414;8.24299999999994
"blasted_case36";64;208;0.0250000000000909
"blasted_case38";143;568;0.162000000000035
"blasted_case39";245;650;14.1990000000001
"blasted_case40";245;650;16.1489999999999
