"model";"quicksampler_varprob_p";"smarch_varprob_p";"spur_varprob_p";"unigen2_varprob_p"
"s1238a_3_2";0;NA;1;NA
"s1238a_7_4";0;NA;1;NA
"s1488_15_7";1;NA;1;NA
"s1488_7_4";2.22044604925031e-16;NA;1;NA
"s27_15_7";1;0.999998823791652;0.999999812478269;0.998472307081821
"s27_3_2";1;0.999998823791652;0.999814916990398;0.978645935229104
"s27_7_4";1;0.999998823791652;0.999955313586805;0.998537406407968
"s27_new_15_7";1;0.999204573030439;0.999999998609934;0.602644336918787
"s27_new_3_2";1;0.999204573030439;0.999993244471447;0.998799581278211
"s27_new_7_4";1;0.999204573030439;0.992088352355962;0.99857571884278
"s298_15_7";0;NA;1;1
"s298_3_2";0;NA;1;1
"s298_7_4";0;NA;1;1
"s344_15_7";0;NA;1;1
"s344_3_2";0;NA;1;1
"s344_7_4";0;NA;1;1
"s349_15_7";0;NA;1;1
"s349_3_2";0;NA;1;1
"s349_7_4";0;NA;1;1
"s382_15_7";0;NA;1;NA
"s382_3_2";0;NA;1;1
"s382_7_4";0;NA;1;1
"s420_15_7";0;NA;1;NA
"s420_3_2";0;NA;1;0
"s420_7_4";0;NA;1;NA
"s420_new_15_7";0;NA;1;NA
"s420_new_3_2";0;NA;1;1
"s420_new_7_4";0;NA;1;NA
"s420_new1_15_7";0;NA;1;NA
"s420_new1_3_2";0;NA;1;0
"s420_new1_7_4";0;NA;1;NA
"s444_15_7";0;NA;1;NA
"s444_3_2";0;NA;1;1
"s444_7_4";0;NA;1;NA
"s510_15_7";0;NA;1;NA
"s510_3_2";0;NA;1;1
"s510_7_4";0;NA;1;NA
"s526_15_7";0;NA;1;NA
"s526_3_2";0;NA;1;NA
"s526_7_4";0;NA;1;NA
"s526a_15_7";0;NA;1;NA
"s526a_3_2";0;NA;1;NA
"s526a_7_4";0;NA;1;NA
"s641_15_7";0;NA;1;NA
"s641_3_2";0;NA;1;NA
"s641_7_4";0;NA;1;NA
"s713_15_7";0;NA;1;NA
"s713_3_2";0;NA;1;NA
"s713_7_4";0;NA;1;NA
"s820a_15_7";0;NA;1;NA
"s820a_3_2";0;NA;1;NA
"s820a_7_4";0;NA;1;NA
"s832a_15_7";0;NA;1;NA
"s832a_3_2";0;NA;1;NA
"s832a_7_4";0;NA;1;NA
"s838_15_7";0;NA;1;NA
"s838_3_2";0;NA;1;NA
"s838_7_4";0;NA;1;NA
"s953a_3_2";0;NA;1;NA
"s953a_7_4";0;NA;1;NA
"tableBasedAddition.sk_240_1024";0;NA;1;NA
"toybox";0;NA;1;NA
"uClibc";0;NA;1;NA
